"strata","mean_SOC.tC.ha","sd_SOC.tC.ha","area_km2","area_total_km2","area_proportion","n.power_0.35tC.ha.yr","n.power_0.213tC.ha.yr","n.CDM"
1,9.49489057069481,0.840624869204741,1752.10858863346,8307.77158658008,0.210899947160767,47.2335681895324,124.185564734351,34.431229885509
2,12.8497729636848,0.660976504515166,2561.94360977252,8307.77158658008,0.30837915836672,29.9700806083802,77.525034814734,39.5862963773402
3,11.1525385676794,0.395774082314727,3005.44714153777,8307.77158658008,0.361763333309814,12.0960819840338,29.077557149277,27.8064616124881
4,15.9658852448026,1.61038821116745,988.272246636324,8307.77158658008,0.118957561162698,168.093240336102,450.576527030853,37.2045850749267
